name	industry	location
山东钢铁	普钢	山东
首创股份	环境保护	北京
民生银行	银行	北京
浙大网新	软件服务	浙江
兴源环境	环境保护	浙江
华夏幸福	区域地产	河北
东方铁塔	钢加工	山东
古井贡酒	白酒	安徽
潍柴动力	汽车配件	山东
四川双马	水泥	四川
*ST华菱	普钢	湖南
沱牌舍得	白酒	四川
河钢股份	普钢	河北
兆易创新	半导体	北京
建科院	建筑施工	深圳
天赐材料	化工原料	广东
跨境通	服饰	山西
中航高科	航空	江苏
新安股份	农药化肥	浙江
恒生电子	软件服务	浙江
吴通控股	通信设备	江苏
上海贝岭	半导体	上海
金禾实业	化工原料	安徽
国科微	半导体	湖南
同方股份	电脑设备	北京
达实智能	软件服务	深圳
中金岭南	铅锌	深圳
国轩高科	电气设备	江苏
美格智能	通信设备	深圳
山西焦化	焦炭加工	山西
西部证券	证券	陕西
阳 光 城	区域地产	福建
三环集团	元器件	广东
赢合科技	专用机械	深圳
精工钢构	钢加工	安徽
西山煤电	煤炭开采	山西
葛洲坝	建筑施工	湖北
科信技术	通信设备	深圳
瀛通通讯	通信设备	湖北
星网锐捷	通信设备	福建
天海防务	船舶	上海
章源钨业	小金属	江西
潞安环能	煤炭开采	山西
创业黑马	综合类	北京
三维通信	通信设备	浙江
东方通信	通信设备	浙江
隆平高科	种植业	湖南
金信诺	电气设备	深圳
大富科技	通信设备	深圳
博天环境	环境保护	北京
驰宏锌锗	铅锌	云南
动力源	电气设备	北京
众源新材	铜	安徽
上海医药	医药商业	上海
交通银行	银行	上海
超声电子	元器件	广东
北纬科技	互联网	北京
金溢科技	通信设备	深圳
杭州园林	建筑施工	浙江
北京君正	半导体	北京
微光股份	电气设备	浙江
云南铜业	铜	云南
曙光股份	汽车整车	辽宁
新 和 成	化学制药	浙江
三一重工	工程机械	湖南
海格通信	通信设备	广东
大秦铁路	铁路	山西
圆通速递	仓储物流	辽宁
道氏技术	陶瓷	广东
金银河	专用机械	广东
皇马科技	化工原料	浙江
通威股份	饲料	四川
方大特钢	特种钢	江西
黑猫股份	化工原料	江西
西部矿业	铜	青海
海立股份	机械基件	上海
久吾高科	环境保护	江苏
梦舟股份	铜	安徽
歌尔股份	元器件	山东
鞍钢股份	普钢	辽宁
马钢股份	普钢	安徽
科大国创	软件服务	安徽
昆仑万维	互联网	北京
青龙管业	塑料	宁夏
云意电气	汽车配件	江苏
露天煤业	煤炭开采	内蒙
中船科技	船舶	上海
光线传媒	影视音像	北京
冀东装备	机械基件	河北
木林森	半导体	广东
华菱星马	汽车整车	安徽
航天发展	通信设备	福建
信维通信	通信设备	深圳
劲嘉股份	广告包装	深圳
天通股份	元器件	浙江
光大银行	银行	北京
三江购物	超市连锁	浙江
冠农股份	农业综合	新疆
华丽家族	区域地产	上海
浙江东方	商贸代理	浙江
华北高速	路桥	北京
东华软件	软件服务	北京
新钢股份	钢加工	江西
顺丰控股	仓储物流	安徽
国盛金控	证券	广东
二三四五	软件服务	上海
华侨城Ａ	旅游景点	深圳
柳钢股份	普钢	广西
共进股份	通信设备	深圳
秦港股份	港口	河北
南山铝业	铝	山东
川金诺	化工原料	云南
中直股份	航空	黑龙江
元成股份	建筑施工	浙江
深 赛 格	元器件	深圳
天玑科技	软件服务	上海
清新环境	环境保护	北京
烽火电子	通信设备	陕西
三聚环保	环境保护	北京
水晶光电	元器件	浙江
中国出版	出版业	北京
梅泰诺	通信设备	北京
生益科技	元器件	广东
盐津铺子	食品	湖南
新易盛	通信设备	四川
恒宝股份	元器件	江苏
纳川股份	塑料	福建
碧水源	环境保护	北京
国电南瑞	软件服务	江苏
先导智能	专用机械	江苏
同兴达	元器件	深圳
中国铁建	建筑施工	北京
启迪桑德	环境保护	湖北
杭萧钢构	钢加工	浙江
山东海化	化工原料	山东
三友化工	化工原料	河北
中国人寿	保险	北京
汤臣倍健	食品	广东
迪贝电气	机械基件	浙江
龙力生物	食品	山东
数据港	互联网	上海
龙蟒佰利	化工原料	河南
建设银行	银行	北京
亚星客车	汽车整车	江苏
同仁堂	中成药	北京
熊猫金控	多元金融	湖南
荣之联	软件服务	北京
宝钢股份	普钢	上海
北斗星通	通信设备	北京
盛洋科技	通信设备	浙江
中颖电子	半导体	上海
太辰光	元器件	深圳
硕贝德	通信设备	广东
新 海 宜	通信设备	江苏
创业环保	环境保护	天津
海特高新	航空	四川
安泰科技	钢加工	北京
东珠景观	建筑施工	江苏
厦门国贸	商贸代理	福建
信质电机	汽车配件	浙江
凯乐科技	通信设备	湖北
浦发银行	银行	上海
易华录	软件服务	北京
杰赛科技	软件服务	广东
招商蛇口	全国地产	深圳
万丰奥威	汽车配件	浙江
金 融 街	全国地产	北京
海王生物	生物制药	深圳
贵州百灵	中成药	贵州
*ST三泰	电脑设备	四川
贵研铂业	小金属	云南
山东黄金	黄金	山东
西部材料	小金属	陕西
梅花生物	食品	西藏
绿地控股	全国地产	上海
口子窖	白酒	安徽
春兴精工	通信设备	江苏
迅游科技	互联网	四川
中国石化	石油加工	北京
山西证券	证券	山西
深圳新星	铝	深圳
洁美科技	元器件	浙江
承德露露	软饮料	河北
爱乐达	航空	四川
中化岩土	建筑施工	北京
拓维信息	互联网	湖南
亚泰国际	装修装饰	深圳
阳光电源	电气设备	安徽
飞利信	软件服务	北京
中孚实业	铝	河南
全志科技	元器件	广东
中国卫星	航空	北京
中国长城	电脑设备	深圳
太极实业	半导体	江苏
沃森生物	生物制药	云南
安琪酵母	食品	湖北
中科电气	电气设备	湖南
中国国旅	旅游服务	北京
设计总院	建筑施工	安徽
友讯达	通信设备	深圳
新雷能	电气设备	北京
大洋电机	电气设备	广东
数字政通	软件服务	北京
立讯精密	元器件	深圳
凯迪生态	新型电力	湖北
海南瑞泽	其他建材	海南
美锦能源	焦炭加工	山西
博创科技	元器件	浙江
华安证券	证券	安徽
宁波韵升	电器仪表	浙江
海马汽车	汽车整车	海南
中顺洁柔	造纸	广东
利亚德	半导体	北京
国投安信	证券	上海
神思电子	软件服务	山东
汇川技术	电器仪表	深圳
名家汇	建筑施工	深圳
今世缘	白酒	江苏
多喜爱	纺织	湖南
和顺电气	电气设备	江苏
华微电子	半导体	吉林
雪人股份	专用机械	福建
达华智能	元器件	广东
意华股份	元器件	浙江
四川九洲	通信设备	四川
福耀玻璃	汽车配件	福建
龙净环保	环境保护	福建
雄韬股份	电气设备	深圳
华东医药	化学制药	浙江
光环新网	电信运营	北京
得润电子	元器件	深圳
上海电气	电气设备	上海
力帆股份	摩托车	重庆
硅宝科技	化工原料	四川
索菱股份	汽车配件	深圳
新宙邦	化工原料	深圳
通鼎互联	通信设备	江苏
太钢不锈	特种钢	山西
中原证券	证券	河南
锌业股份	铅锌	辽宁
安 纳 达	化工原料	安徽
崇达技术	半导体	深圳
西部建设	水泥	新疆
TCL 集团	家用电器	广东
中国中车	运输设备	北京
棕榈股份	建筑施工	广东
南方航空	空运	广东
必创科技	电器仪表	北京
大恒科技	软件服务	北京
富满电子	半导体	深圳
北大荒	种植业	黑龙江
航天通信	通信设备	浙江
白云山	中成药	广东
劲胜智能	元器件	广东
中国交建	建筑施工	北京
世运电路	元器件	广东
朗玛信息	软件服务	贵州
坚瑞沃能	专用机械	陕西
中国宝安	综合类	深圳
银河电子	通信设备	江苏
华鲁恒升	农药化肥	山东
高新兴	通信设备	广东
银都股份	专用机械	浙江
沧州明珠	塑料	河北
万马股份	电气设备	浙江
新城控股	区域地产	江苏
红星发展	化工原料	贵州
长园集团	电气设备	深圳
盛运环保	环境保护	安徽
王府井	百货	北京
人福医药	化学制药	湖北
长盈精密	元器件	深圳
科伦药业	化学制药	四川
中炬高新	食品	广东
正海磁材	元器件	山东
光明乳业	乳制品	上海
五矿稀土	小金属	山西
南京熊猫	通信设备	江苏
捷成股份	软件服务	北京
珈伟股份	半导体	深圳
S佳通	汽车配件	黑龙江
炼石有色	小金属	陕西
华正新材	元器件	浙江
天安新材	塑料	广东
阳煤化工	农药化肥	山西
西部黄金	黄金	新疆
辉煌科技	通信设备	河南
华资实业	食品	内蒙
合众思壮	通信设备	北京
德赛电池	电气设备	深圳
建投能源	火力发电	河北
光大证券	证券	上海
中鼎股份	橡胶	安徽
福晶科技	元器件	福建
欣天科技	元器件	深圳
同洲电子	通信设备	深圳
南威软件	软件服务	福建
中青旅	旅游服务	北京
东方钽业	小金属	宁夏
花园生物	食品	浙江
岳阳林纸	造纸	湖南
北方导航	专用机械	北京
天润乳业	乳制品	新疆
金利科技	互联网	江苏
京泉华	元器件	深圳
富瀚微	半导体	上海
华工科技	电器仪表	湖北
潜能恒信	石油开采	北京
永安行	公共交通	江苏
航天电子	航空	湖北
家家悦	超市连锁	山东
乐金健康	医疗保健	安徽
华讯方舟	通信设备	河北
皮阿诺	家居用品	广东
北方华创	半导体	北京
新 大 陆	软件服务	福建
航发动力	航空	陕西
天源迪科	软件服务	深圳
安信信托	多元金融	上海
同花顺	软件服务	浙江
麦捷科技	元器件	深圳
祥和实业	运输设备	浙江
长春高新	生物制药	吉林
奥特佳	汽车配件	江苏
开立医疗	医疗保健	深圳
用友网络	软件服务	北京
浙江龙盛	染料涂料	浙江
圣达生物	食品	浙江
航发科技	航空	四川
玲珑轮胎	汽车配件	山东
中航光电	元器件	河南
赛意信息	软件服务	广东
渤海股份	水务	北京
江粉磁材	元器件	广东
兴民智通	汽车配件	山东
晨曦航空	航空	陕西
荣盛发展	全国地产	河北
包钢股份	普钢	内蒙
中金黄金	黄金	北京
初灵信息	通信设备	浙江
特变电工	电气设备	新疆
贵阳银行	银行	贵州
东吴证券	证券	江苏
永鼎股份	通信设备	江苏
长江电力	水力发电	北京
安井食品	食品	福建
鄂尔多斯	小金属	内蒙
金证股份	软件服务	深圳
深圳华强	批发业	深圳
中文传媒	出版业	江西
泸天化	农药化肥	四川
金地集团	全国地产	深圳
日海通讯	通信设备	深圳
思特奇	软件服务	北京
上海机场	机场	上海
蓝焰控股	煤炭开采	山西
江苏银行	银行	江苏
贝因美	乳制品	浙江
华夏银行	银行	北京
东信和平	通信设备	广东
陕西黑猫	焦炭加工	陕西
通化东宝	生物制药	吉林
老板电器	家用电器	浙江
数字认证	软件服务	北京
西宁特钢	特种钢	青海
祁连山	水泥	甘肃
机器人	专用机械	辽宁
华仪电气	电气设备	浙江
阳泉煤业	煤炭开采	山西
鼎信通讯	通信设备	山东
三 力 士	橡胶	浙江
威孚高科	汽车配件	江苏
华兰生物	生物制药	河南
